name,IUPAC,nC,mp,bp
N-alkane,Methane,1,-183,-162
N-alkane,Ethane,2,-183,-89
N-alkane,Propane,3,-188,-42
N-alkane,N-butane,4,-138,-1
N-alkane,N-pentane,5,-130,36
N-alkane,N-hexane,6,-95,69
N-alkane,N-heptane,7,-91,98
N-alkane,N-octane,8,-57,126
N-alkane,N-nonane,9,-53,151
N-alkane,N-decane,10,-30,174
N-alkane,N-undecane,11,-26,196
N-alkane,N-dodecane,12,-10,216
N-alkane,N-tridecane,13,-5,235
N-alkane,N-tetradecane,14,6,254
N-alkane,N-pentadecane,15,15,270
N-alkane,N-hexadecane,16,18,287
N-alkane,N-heptadecane,17,22,303
N-alkane,N-octadecane,18,28,316
N-alkane,N-nonadecane,19,32,330
N-alkane,N-eicosane,20,37,344
N-alkane,N-heneicosane,21,40,359
N-alkane,N-docosane,22,44,369
N-alkane,N-tricosane,23,47,381
N-alkane,N-tetracosane,24,50,391
N-alkane,N-pentacosane,25,53,402
N-alkane,N-hexacosane,26,56,415
N-alkane,N-heptacosane,27,59,422
N-alkane,N-octacosane,28,61,435
N-alkane,N-nonacosane,29,64,443
N-alkane,N-triacontane,30,66,451
N-alkane,N-hentriacontane,31,68,458
N-alkane,N-dotriacontane,32,70,470
N-alkane,N-pentatriacontane,35,74,489
N-alkane,N-tetracontane,40,81,522
N-alkane,N-pentacontane,50,92,575
N-alkane,N-hexacontane,60,100,625
N-alkane,N-heptacontane,70,106,647
N-alkane,N-octacontane,80,112,672